Name,Code,City
An Phú,9,An Giang
Châu Đốc,104,An Giang
Châu Phú,106,An Giang
Châu Thành,107,An Giang
Chợ Mới,125,An Giang
Long Xuyên,344,An Giang
Phú Tân,447,An Giang
Tân Châu,537,An Giang
Thoại Sơn,590,An Giang
Tịnh Biên,615,An Giang
Tri Tôn,628,An Giang
Tân Thành,549,Bà Rịa-Vũng Tàu
Vũng Tàu,687,Bà Rịa-Vũng Tàu
Xuyên Mộc,691,Bà Rịa-Vũng Tàu
Bà Rịa,20,Bà Rịa-Vũng Tàu
Châu Đức,105,Bà Rịa-Vũng Tàu
Côn Đảo,134,Bà Rịa-Vũng Tàu
Đất Đỏ,173,Bà Rịa-Vũng Tàu
Long Điền,338,Bà Rịa-Vũng Tàu
Bàu Bàng,33,Bình Dương
Bắc Tân Uyên,42,Bình Dương
Bến Cát,46,Bình Dương
Dầu Tiếng,143,Bình Dương
Dĩ An,145,Bình Dương
Phú Giáo,439,Bình Dương
Tân Uyên,552,Bình Dương
Thủ Dầu Một,596,Bình Dương
Thuận An,599,Bình Dương
Bình Long,57,Bình Phước
Bù Đăng,67,Bình Phước
Bù Đốp,68,Bình Phước
Bù Gia Mập,69,Bình Phước
Chơn Thành,126,Bình Phước
Đồng Phú,194,Bình Phước
Đồng Xoài,196,Bình Phước
Hớn Quản,268,Bình Phước
Lộc Ninh,347,Bình Phước
Phước Long,463,Bình Phước
Bắc Bình,34,Bình Thuận
Đức Linh,203,Bình Thuận
Hàm Tân,243,Bình Thuận
Hàm Thuận Bắc,244,Bình Thuận
Hàm Thuận Nam,245,Bình Thuận
La Gi,318,Bình Thuận
Phan Thiết,433,Bình Thuận
Phú Quý,445,Bình Thuận
Tánh Linh,533,Bình Thuận
Tuy Phong,640,Bình Thuận
An Lão,6,Bình Định
An Nhơn,8,Bình Định
Hoài Ân,256,Bình Định
Hoài Nhơn,258,Bình Định
Phù Cát,453,Bình Định
Phù Mỹ,455,Bình Định
Qui Nhơn,494,Bình Định
Tây Sơn,559,Bình Định
Tuy Phước,641,Bình Định
Vân Canh,660,Bình Định
Vĩnh Thạnh,677,Bình Định
Bạc Liêu,23,Bạc Liêu
Đông Hải,187,Bạc Liêu
Giá Rai,215,Bạc Liêu
Hoà Bình,252,Bạc Liêu
Hồng Dân,271,Bạc Liêu
Phước Long,464,Bạc Liêu
Vĩnh Lợi,676,Bạc Liêu
Bắc Giang,35,Bắc Giang
Hiệp Hòa,249,Bắc Giang
Lạng Giang,325,Bắc Giang
Lục Nam,348,Bắc Giang
Lục Ngạn,349,Bắc Giang
Sơn Động,516,Bắc Giang
Tân Yên,554,Bắc Giang
Việt Yên,667,Bắc Giang
Yên Dũng,696,Bắc Giang
Yên Thế,707,Bắc Giang
Ba Bể,13,Bắc Kạn
Bạch Thông,25,Bắc Kạn
Bắc Kạn,37,Bắc Kạn
Chợ Đồn,121,Bắc Kạn
Chợ Mới,124,Bắc Kạn
Na Rì,386,Bắc Kạn
Ngân Sơn,401,Bắc Kạn
Pác Nặm,431,Bắc Kạn
Bắc Ninh,39,Bắc Ninh
Gia Bình,210,Bắc Ninh
Lương Tài,352,Bắc Ninh
Quế Võ,493,Bắc Ninh
Thuận Thành,603,Bắc Ninh
Tiên Du,607,Bắc Ninh
Từ Sơn,646,Bắc Ninh
Yên Phong,704,Bắc Ninh
Ba Tri,18,Bến Tre
Bến Tre,49,Bến Tre
Bình Đại,53,Bến Tre
Châu Thành,108,Bến Tre
Chợ Lách,123,Bến Tre
Giồng Trôm,220,Bến Tre
Mỏ Cày Bắc,364,Bến Tre
Mỏ Cày Nam,365,Bến Tre
Thạnh Phú,584,Bến Tre
Bảo Lạc,26,Cao Bằng
Bảo Lâm,27,Cao Bằng
Cao Bằng,84,Cao Bằng
Hà Quảng,229,Cao Bằng
Hạ Lang,234,Cao Bằng
Hòa An,251,Cao Bằng
Nguyên Bình,413,Cao Bằng
Phục Hòa,461,Cao Bằng
Quảng Uyên,477,Cao Bằng
Thạch An,561,Cao Bằng
Thông Nông,591,Cao Bằng
Trà Lĩnh,618,Cao Bằng
Trùng Khánh,631,Cao Bằng
Cà Mau,73,Cà Mau
Cái Nước,77,Cà Mau
Đầm Dơi,170,Cà Mau
Năm Căn,395,Cà Mau
Ngọc Hiển,408,Cà Mau
Phú Tân,448,Cà Mau
Thới Bình,594,Cà Mau
Trần Văn Thời,627,Cà Mau
U Minh,648,Cà Mau
Bình Thủy,64,Cần Thơ
Cái Răng,78,Cần Thơ
Cờ Đỏ,136,Cần Thơ
Ninh Kiều,424,Cần Thơ
Ô Môn,430,Cần Thơ
Phong Điền,435,Cần Thơ
Thốt Nốt,593,Cần Thơ
Thới Lai,595,Cần Thơ
Vĩnh Thạnh,678,Cần Thơ
